                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3143,                 3.6961,                 2.9628,                 1.8763,                0.16425,                0.17004,                0.10968,                0.05076,                0.14753,                0.15279,                0.09154,                0.04196,                 2.7176,                  2.374,                 2.8158,                 2.4662,               0.070462,              0.0032821,              0.0032821
                      1,                 1.7255,                 2.4766,                 1.7918,                 1.4558,                0.43738,                0.61615,                0.51299,                0.30316,                0.43159,                0.61361,                0.50681,                0.28203,                 1.6623,                 1.2677,                 1.7586,                 1.4958,               0.040418,              0.0065717,              0.0065717
                      2,                 1.6196,                 2.2357,                 1.6091,                 1.3713,                0.52605,                0.59169,                0.53297,                0.33294,                0.51837,                0.58261,                0.52387,                0.31524,                 1.6315,                 1.6149,                 1.5793,                 1.4136,                0.01033,              0.0098174,              0.0098174
                      3,                 1.5889,                 2.1854,                 1.5086,                 1.3474,                0.40718,                0.66301,                0.54025,                0.34886,                0.39616,                0.65067,                0.51976,                0.29644,                 1.5207,                 1.2509,                   1.69,                 1.4033,               0.009802,               0.009802,               0.009802
                      4,                 1.5341,                 2.1786,                 1.4466,                 1.3348,                0.48712,                0.64213,                0.55651,                0.33524,                0.47011,                0.62763,                0.52956,                0.28942,                 1.6188,                 1.3431,                 1.4769,                 1.4488,               0.009802,               0.009802,               0.009802
                      5,                 1.4839,                 2.1138,                 1.3763,                 1.3037,                0.43352,                0.41868,                0.37038,                0.21709,                0.42505,                0.40944,                0.36152,                0.19679,                 1.8405,                 1.5023,                 2.2228,                 1.6128,               0.009736,               0.009736,               0.009736
                      6,                 1.4682,                 2.0078,                 1.3468,                 1.2938,                0.38908,                0.53969,                0.37038,                0.20997,                0.37624,                 0.5284,                0.35595,                 0.1742,                 1.6922,                 1.3836,                 1.9337,                 1.5604,                0.00967,                0.00967,                0.00967
                      7,                 1.4403,                 2.0947,                 1.3034,                 1.2807,                0.52207,                0.56067,                0.52272,                0.34583,                0.51542,                 0.5525,                0.50682,                0.30677,                 1.5691,                 1.2942,                 2.1563,                 1.4849,               0.009604,               0.009604,               0.009604
                      8,                  1.404,                 2.0118,                 1.2808,                 1.2665,                0.36763,                0.43206,                0.36901,                0.23412,                0.34918,                0.41899,                0.35281,                0.21214,                  2.122,                 1.4509,                 2.4264,                 1.7696,               0.009538,               0.009538,               0.009538
                      9,                 1.4149,                  2.021,                 1.2824,                  1.268,                0.57767,                0.63555,                0.58875,                0.38668,                0.56604,                0.62122,                0.57226,                0.34672,                 1.5047,                 1.1343,                 1.4574,                 1.4223,               0.009472,               0.009472,               0.009472
